"Red=No Price data, Yellow= only partially included on price sheet, Green=on both sheets",Element,Notes,production,Are Production figures unavailable?,Other
Green ,Al,Production figures in thousand metric tons,Production of bauxite,,
Red,He,Production figures in million cubic meters,,,
Green ,Li,Production figures in metric tons,Production of minerals and brine,,
Red,Be,Production figures in metric tons,,,
Green ,B,Production figures in thousand metric tons,,,
Red,C,No detailed full production figures provided,,,
Green ,N,Production figures in thousand metric tons,,,
Green ,K,Production figures in thousand metric tons,,,
Green ,P,Production figures in thousand metric tons,Production of P2O5,,
Green ,S,Production figures in thousand metric tons,,,
Green ,Ca,Production figures in thousand metric tons,,,
Green ,Ti,Production figures in metric tons,,2015 production not yet available,
Green ,V,Production figures in metric tons,,,
Green ,Cr,Production figures in thousand metric tons,Production of gross chromite ore,,
Green ,Mn,Production figures in thousand metric tons,Production of metal content equivalent,2015 production not yet available,
Green ,Fe,Production figures in thousand metric tons,Production of metal content equivalent,,"Format of most minor producers switched to ""Other"" after 2010."
Green ,Co,Production figures in metric tons,Production of cobalt content from ore,,
Green ,Ni,Production figures in metric tons,Production of nickel content from ore,2015 production not yet available,
Green ,Cu,Production figures in metric tons,,,
Green ,Zn,Production figures in metric tons,Production of zinc content from ore,,
Green ,Ga,Production figures in metric tons,Production capacity,,
Red,Ge,No detailed production figures provided,,,
Green ,As,Production figures in metric tons,Production of arsenic trioxide,,
Green ,Se,Production figures in kilograms,,,
Red,Br,Production figures in metric tons,,,
Red,Rb,No detailed production figures provided,,,
Red,Sr,Production figures in metric tons,Production of celestite,,
Yellow,Rare Earths,Production figures in metric tons,Production of rare earth oxide equivalent,,
Green ,Zr,Production figures in metric tons,,,
Yellow,Nb,Production figures in metric tons,Nb content of ores containing Nb and Ta,,
Green ,Mo,Production figures in metric tons,Mo content of ores,,
Red,Tc,"Synthetic material, no extraction operations",,,
"Red, (Ru, Rh, Os, Ir)",Platinum Group Metals,Production figures in kilograms,These elements are grouped togther,,
Green ,Pd,Production figures in kilograms,,,
Green ,Ag,Production figures in metric tons,,2015 Production not yet available,
Green ,Cd,Production figures in metric tons,,,
Red,In,No detailed production figures provided,,,
Green ,Sn,Production figures in metric tons,,,
Green ,Sb,Production figures in metric tons,,,
Green ,Te,Production figures in kilograms,,,
Green ,I,Production figures in metric tons,,,
Red,Cs,No detailed production figures provided,,,"Format of most minor producers switched to ""Other"" after 2009"
Green ,Ba,Production figures in metric tons,Production of barite,,
Red,Hf,No detailed production figures provided,,,
Green ,Ta,Production figures in metric tons,,,
Green ,W,Production figures in metric tons,,,
Green ,Re,Production figures in kilograms,,,
Green ,Pt,Production figures in kilograms,,,
Green ,Au,Production figures in kilograms,,,
Green ,Hg,Production figures in metric tons,,,
Red,Tl,No detailed production figures provided,,,
Green ,Pb,Production figures in metric tons,Production of lead concentrate,,
Green ,Bi,Production figures in metric tons,,,
Red,Po,No detailed production figures provided,,,
Red,At,"Practically purely synthetic, no extraction operations",,,
Red,Fr,"Practically purely synthetic, no extraction operations",,,
Red,Ra,No detailed production figures provided,,,
Red,Ac,"Synthetic material, no extraction operations",,,
Yellow,Th,Production figures in metric tons,Production of Monazite concentrate,,
Red,Pa,"Practically purely synthetic, no extraction operations",,,
"Red, (Uranium under Department of Energy)",U,No detailed foreign production figures exist,,,
Red,Transuranics,"Synthetic materials, no extraction operations",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
